measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-01T09:00:00Z,2010-01-01,8.74,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-02T09:00:00Z,2010-01-02,7.35,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-03T09:00:00Z,2010-01-03,6.08,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-04T09:00:00Z,2010-01-04,5.71,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-05T09:00:00Z,2010-01-05,5.45,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-06T09:00:00Z,2010-01-06,4.41,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-07T09:00:00Z,2010-01-07,3.43,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-08T09:00:00Z,2010-01-08,3.64,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-09T09:00:00Z,2010-01-09,3.77,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-10T09:00:00Z,2010-01-10,4.37,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-11T09:00:00Z,2010-01-11,4.57,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-12T09:00:00Z,2010-01-12,5.07,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-13T09:00:00Z,2010-01-13,4.97,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-14T09:00:00Z,2010-01-14,4.61,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-01-15T09:00:00Z,2010-01-15,32.5,Complete,Good,
