measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-01T09:00:00Z,2010-01-01,5.12,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-02T09:00:00Z,2010-01-02,5.08,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-03T09:00:00Z,2010-01-03,4.12,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-04T09:00:00Z,2010-01-04,3.79,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-05T09:00:00Z,2010-01-05,3.59,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-06T09:00:00Z,2010-01-06,2.99,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-07T09:00:00Z,2010-01-07,2.3,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-08T09:00:00Z,2010-01-08,2.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-09T09:00:00Z,2010-01-09,2.81,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-10T09:00:00Z,2010-01-10,3.14,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-11T09:00:00Z,2010-01-11,3.16,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-12T09:00:00Z,2010-01-12,3.25,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-13T09:00:00Z,2010-01-13,3.11,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-14T09:00:00Z,2010-01-14,2.93,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-15T09:00:00Z,2010-01-15,25.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-01-16T09:00:00Z,2010-01-16,40.7,Complete,Good,
